Amsterdamse code,CBS code,Naam,# geldige stemmen,# ongeldige/blanco stemmen,Percentage ongeldige/blanco stemmen,# kiesgerechtigden,Opkomst,Opkomstpercentage,CDA,PvdA,VVD,SP,LPF,GL,D66,CU,SGP,PvdD,LN,Partij van de Toekomst,Lijst Ratelband,Duurzaam Nederland,Nieuwe Communistische Partij,De Conservatieven.nl,VIP Vooruitstrevende Integratie Partij,Alliantie Vernieuwing en Democratie,Lijst Veldhoen
10101,779,Geertruidenberg,12473,15,"0,12 %",16282,12488,"76,70 %",3737,3629,2369,903,735,440,392,35,29,61,80,29,18,4,5,5,1,1,0
10881,236,Geldermalsen,16208,13,"0,08 %",18787,16221,"86,34 %",5123,3659,3272,567,992,502,492,214,1207,69,66,29,12,0,4,0,0,0,0
10529,781,Geldrop,16661,20,"0,12 %",21150,16681,"78,87 %",5389,3875,2881,1509,1064,849,658,139,11,77,105,67,22,7,4,4,0,0,0
10277,1652,Gemert-Bakel,16530,22,"0,13 %",20888,16552,"79,24 %",7275,3510,2392,1371,858,481,367,23,7,69,79,63,12,2,6,8,3,4,0
10260,237,Gendringen,12678,8,"0,06 %",15600,12686,"81,32 %",5730,3449,1508,667,487,401,250,47,6,40,37,27,11,10,3,2,0,3,0
10542,907,Gennep,9653,17,"0,18 %",12748,9670,"75,86 %",3748,2412,1352,729,509,392,382,28,6,25,38,19,5,6,1,1,0,0,0
10255,689,Giessenlanden,9652,10,"0,10 %",10710,9662,"90,21 %",3327,2064,1923,346,457,221,255,574,394,31,20,14,11,0,5,6,1,0,3
11375,784,Gilze en Rijen,15086,19,"0,13 %",18581,15105,"81,29 %",5076,3917,2669,1087,863,592,595,43,7,59,81,39,18,25,3,6,2,4,0
10981,511,Goedereede,7819,6,"0,08 %",8796,7825,"88,96 %",2710,1121,1182,185,393,100,139,300,1619,29,20,5,8,1,1,0,3,0,3
10674,664,Goes,22198,11,"0,05 %",27723,22209,"80,11 %",7063,5429,3414,1208,835,1179,683,671,1434,127,65,42,27,12,9,0,0,0,0
10971,785,Goirle,14048,12,"0,09 %",17177,14060,"81,85 %",4572,3503,2656,1223,632,672,601,21,2,41,61,29,18,5,4,4,3,1,0
10942,512,Gorinchem,19258,23,"0,12 %",24720,19281,"78,00 %",4309,6241,3633,1152,1181,793,770,627,318,86,76,25,7,24,8,5,1,2,0
10085,239,Gorssel,9284,8,"0,09 %",10521,9292,"88,32 %",2931,2300,2321,440,267,421,441,77,6,34,28,11,3,1,1,1,0,1,0
10302,513,Gouda,42724,65,"0,15 %",51798,42789,"82,61 %",9708,11765,7250,2413,3622,2621,2006,1425,1379,242,149,32,59,8,15,16,6,8,0
